id,psgcCode,citymunDesc,regDesc,provCode,citymunCode
116,15539000,Santa Maria,01,0155,015539
117,15540000,Santo Tomas,01,0155,015540
118,15541000,Sison,01,0155,015541
119,15542000,Sual,01,0155,015542
120,15543000,Tayug,01,0155,015543
121,15544000,Umingan,01,0155,015544
122,15545000,Urbiztondo,01,0155,015545
123,15546000,City Of Urdaneta,01,0155,015546
124,15547000,Villasis,01,0155,015547
125,15548000,Laoac,01,0155,015548
126,20901000,Basco (Capital),02,0209,020901
127,20902000,Itbayat,02,0209,020902
128,20903000,Ivana,02,0209,020903
129,20904000,Mahatao,02,0209,020904
130,20905000,Sabtang,02,0209,020905
131,20906000,Uyugan,02,0209,020906
132,21501000,Abulug,02,0215,021501
133,21502000,Alcala,02,0215,021502
134,21503000,Allacapan,02,0215,021503
135,21504000,Amulung,02,0215,021504
136,21505000,Aparri,02,0215,021505
137,21506000,Baggao,02,0215,021506
138,21507000,Ballesteros,02,0215,021507
139,21508000,Buguey,02,0215,021508
140,21509000,Calayan,02,0215,021509
141,21510000,Camalaniugan,02,0215,021510
142,21511000,Claveria,02,0215,021511
143,21512000,Enrile,02,0215,021512
144,21513000,Gattaran,02,0215,021513
145,21514000,Gonzaga,02,0215,021514
146,21515000,Iguig,02,0215,021515
147,21516000,Lal-Lo,02,0215,021516
148,21517000,Lasam,02,0215,021517
149,21518000,Pamplona,02,0215,021518
150,21519000,Pe?Ablanca,02,0215,021519
151,21520000,Piat,02,0215,021520
152,21521000,Rizal,02,0215,021521
153,21522000,Sanchez-Mira,02,0215,021522
154,21523000,Santa Ana,02,0215,021523
155,21524000,Santa Praxedes,02,0215,021524
156,21525000,Santa Teresita,02,0215,021525
157,21526000,Santo Ni?O (Faire),02,0215,021526
158,21527000,Solana,02,0215,021527
159,21528000,Tuao,02,0215,021528
160,21529000,Tuguegarao City (Capital),02,0215,021529
161,23101000,Alicia,02,0231,023101
162,23102000,Angadanan,02,0231,023102
163,23103000,Aurora,02,0231,023103
164,23104000,Benito Soliven,02,0231,023104
165,23105000,Burgos,02,0231,023105
166,23106000,Cabagan,02,0231,023106
167,23107000,Cabatuan,02,0231,023107
168,23108000,City Of Cauayan,02,0231,023108
169,23109000,Cordon,02,0231,023109
170,23110000,Dinapigue,02,0231,023110
171,23111000,Divilacan,02,0231,023111
172,23112000,Echague,02,0231,023112
173,23113000,Gamu,02,0231,023113
174,23114000,Ilagan City (Capital),02,0231,023114
175,23115000,Jones,02,0231,023115
176,23116000,Luna,02,0231,023116
177,23117000,Maconacon,02,0231,023117
178,23118000,Delfin Albano (Magsaysay),02,0231,023118
179,23119000,Mallig,02,0231,023119
180,23120000,Naguilian,02,0231,023120
181,23121000,Palanan,02,0231,023121
182,23122000,Quezon,02,0231,023122
183,23123000,Quirino,02,0231,023123
184,23124000,Ramon,02,0231,023124
185,23125000,Reina Mercedes,02,0231,023125
186,23126000,Roxas,02,0231,023126
187,23127000,San Agustin,02,0231,023127
188,23128000,San Guillermo,02,0231,023128
189,23129000,San Isidro,02,0231,023129
190,23130000,San Manuel,02,0231,023130
191,23131000,San Mariano,02,0231,023131
192,23132000,San Mateo,02,0231,023132
193,23133000,San Pablo,02,0231,023133
194,23134000,Santa Maria,02,0231,023134
195,23135000,City Of Santiago,02,0231,023135
196,23136000,Santo Tomas,02,0231,023136
197,23137000,Tumauini,02,0231,023137
198,25001000,Ambaguio,02,0250,025001
199,25002000,Aritao,02,0250,025002
200,25003000,Bagabag,02,0250,025003
201,25004000,Bambang,02,0250,025004
202,25005000,Bayombong (Capital),02,0250,025005
203,25006000,Diadi,02,0250,025006
204,25007000,Dupax Del Norte,02,0250,025007
205,25008000,Dupax Del Sur,02,0250,025008
206,25009000,Kasibu,02,0250,025009
207,25010000,Kayapa,02,0250,025010
208,25011000,Quezon,02,0250,025011
209,25012000,Santa Fe,02,0250,025012
210,25013000,Solano,02,0250,025013
211,25014000,Villaverde,02,0250,025014
212,25015000,Alfonso Castaneda,02,0250,025015
213,25701000,Aglipay,02,0257,025701
214,25702000,Cabarroguis (Capital),02,0257,025702
215,25703000,Diffun,02,0257,025703
216,25704000,Maddela,02,0257,025704
217,25705000,Saguday,02,0257,025705
218,25706000,Nagtipunan,02,0257,025706
219,30801000,Abucay,03,0308,030801
220,30802000,Bagac,03,0308,030802
221,30803000,City Of Balanga (Capital),03,0308,030803
222,30804000,Dinalupihan,03,0308,030804
223,30805000,Hermosa,03,0308,030805
224,30806000,Limay,03,0308,030806
225,30807000,Mariveles,03,0308,030807
226,30808000,Morong,03,0308,030808
227,30809000,Orani,03,0308,030809
228,30810000,Orion,03,0308,030810
229,30811000,Pilar,03,0308,030811
230,30812000,Samal,03,0308,030812
231,31401000,Angat,03,0314,031401
232,31402000,Balagtas (Bigaa),03,0314,031402
233,31403000,Baliuag,03,0314,031403
234,31404000,Bocaue,03,0314,031404
235,31405000,Bulacan,03,0314,031405
236,31406000,Bustos,03,0314,031406
237,31407000,Calumpit,03,0314,031407
238,31408000,Guiguinto,03,0314,031408
239,31409000,Hagonoy,03,0314,031409
240,31410000,City Of Malolos (Capital),03,0314,031410
241,31411000,Marilao,03,0314,031411
242,31412000,City Of Meycauayan,03,0314,031412
243,31413000,Norzagaray,03,0314,031413
244,31414000,Obando,03,0314,031414
245,31415000,Pandi,03,0314,031415
246,31416000,Paombong,03,0314,031416
247,31417000,Plaridel,03,0314,031417
248,31418000,Pulilan,03,0314,031418
249,31419000,San Ildefonso,03,0314,031419
250,31420000,City Of San Jose Del Monte,03,0314,031420
251,31421000,San Miguel,03,0314,031421
252,31422000,San Rafael,03,0314,031422
253,31423000,Santa Maria,03,0314,031423
254,31424000,Do?A Remedios Trinidad,03,0314,031424
255,34901000,Aliaga,03,0349,034901
256,34902000,Bongabon,03,0349,034902
257,34903000,Cabanatuan City,03,0349,034903
258,34904000,Cabiao,03,0349,034904
259,34905000,Carranglan,03,0349,034905
260,34906000,Cuyapo,03,0349,034906
261,34907000,Gabaldon (Bitulok & Sabani),03,0349,034907
262,34908000,City Of Gapan,03,0349,034908
263,34909000,General Mamerto Natividad,03,0349,034909
264,34910000,General Tinio (Papaya),03,0349,034910
265,34911000,Guimba,03,0349,034911
266,34912000,Jaen,03,0349,034912
267,34913000,Laur,03,0349,034913
268,34914000,Licab,03,0349,034914
269,34915000,Llanera,03,0349,034915
270,34916000,Lupao,03,0349,034916
271,34917000,Science City Of Mu?Oz,03,0349,034917
272,34918000,Nampicuan,03,0349,034918
273,34919000,Palayan City (Capital),03,0349,034919
274,34920000,Pantabangan,03,0349,034920
275,34921000,Pe?Aranda,03,0349,034921
276,34922000,Quezon,03,0349,034922
277,34923000,Rizal,03,0349,034923
278,34924000,San Antonio,03,0349,034924
279,34925000,San Isidro,03,0349,034925
280,34926000,San Jose City,03,0349,034926
281,34927000,San Leonardo,03,0349,034927
282,34928000,Santa Rosa,03,0349,034928
283,34929000,Santo Domingo,03,0349,034929
284,34930000,Talavera,03,0349,034930
285,34931000,Talugtug,03,0349,034931
286,34932000,Zaragoza,03,0349,034932
287,35401000,Angeles City,03,0354,035401
288,35402000,Apalit,03,0354,035402
289,35403000,Arayat,03,0354,035403
290,35404000,Bacolor,03,0354,035404
291,35405000,Candaba,03,0354,035405
292,35406000,Floridablanca,03,0354,035406
293,35407000,Guagua,03,0354,035407
294,35408000,Lubao,03,0354,035408
295,35409000,Mabalacat City,03,0354,035409
296,35410000,Macabebe,03,0354,035410
297,35411000,Magalang,03,0354,035411
298,35412000,Masantol,03,0354,035412
299,35413000,Mexico,03,0354,035413
300,35414000,Minalin,03,0354,035414
301,35415000,Porac,03,0354,035415
302,35416000,City Of San Fernando (Capital),03,0354,035416
303,35417000,San Luis,03,0354,035417
304,35418000,San Simon,03,0354,035418
305,35419000,Santa Ana,03,0354,035419
306,35420000,Santa Rita,03,0354,035420
307,35421000,Santo Tomas,03,0354,035421
308,35422000,Sasmuan (Sexmoan),03,0354,035422
309,36901000,Anao,03,0369,036901
310,36902000,Bamban,03,0369,036902
311,36903000,Camiling,03,0369,036903
312,36904000,Capas,03,0369,036904
313,36905000,Concepcion,03,0369,036905
314,36906000,Gerona,03,0369,036906
315,36907000,La Paz,03,0369,036907
316,36908000,Mayantoc,03,0369,036908
317,36909000,Moncada,03,0369,036909
318,36910000,Paniqui,03,0369,036910
319,36911000,Pura,03,0369,036911
320,36912000,Ramos,03,0369,036912
321,36913000,San Clemente,03,0369,036913
322,36914000,San Manuel,03,0369,036914
323,36915000,Santa Ignacia,03,0369,036915
324,36916000,City Of Tarlac (Capital),03,0369,036916
325,36917000,Victoria,03,0369,036917
326,36918000,San Jose,03,0369,036918
327,37101000,Botolan,03,0371,037101
328,37102000,Cabangan,03,0371,037102
329,37103000,Candelaria,03,0371,037103
330,37104000,Castillejos,03,0371,037104
331,37105000,Iba (Capital),03,0371,037105
332,37106000,Masinloc,03,0371,037106
333,37107000,Olongapo City,03,0371,037107
334,37108000,Palauig,03,0371,037108
335,37109000,San Antonio,03,0371,037109
336,37110000,San Felipe,03,0371,037110
337,37111000,San Marcelino,03,0371,037111
338,37112000,San Narciso,03,0371,037112
339,37113000,Santa Cruz,03,0371,037113
340,37114000,Subic,03,0371,037114
341,37701000,Baler (Capital),03,0377,037701
342,37702000,Casiguran,03,0377,037702
343,37703000,Dilasag,03,0377,037703
344,37704000,Dinalungan,03,0377,037704
345,37705000,Dingalan,03,0377,037705
346,37706000,Dipaculao,03,0377,037706
347,37707000,Maria Aurora,03,0377,037707
348,37708000,San Luis,03,0377,037708
349,41001000,Agoncillo,04,0410,041001
350,41002000,Alitagtag,04,0410,041002
351,41003000,Balayan,04,0410,041003
352,41004000,Balete,04,0410,041004
353,41005000,Batangas City (Capital),04,0410,041005
354,41006000,Bauan,04,0410,041006
355,41007000,Calaca,04,0410,041007
356,41008000,Calatagan,04,0410,041008
357,41009000,Cuenca,04,0410,041009
358,41010000,Ibaan,04,0410,041010
359,41011000,Laurel,04,0410,041011
360,41012000,Lemery,04,0410,041012
361,41013000,Lian,04,0410,041013
362,41014000,Lipa City,04,0410,041014
363,41015000,Lobo,04,0410,041015
364,41016000,Mabini,04,0410,041016
365,41017000,Malvar,04,0410,041017
366,41018000,Mataasnakahoy,04,0410,041018
367,41019000,Nasugbu,04,0410,041019
368,41020000,Padre Garcia,04,0410,041020
369,41021000,Rosario,04,0410,041021
370,41022000,San Jose,04,0410,041022
371,41023000,San Juan,04,0410,041023
372,41024000,San Luis,04,0410,041024
373,41025000,San Nicolas,04,0410,041025
374,41026000,San Pascual,04,0410,041026
375,41027000,Santa Teresita,04,0410,041027
376,41028000,Santo Tomas,04,0410,041028
377,41029000,Taal,04,0410,041029
378,41030000,Talisay,04,0410,041030
379,41031000,City Of Tanauan,04,0410,041031
380,41032000,Taysan,04,0410,041032
381,41033000,Tingloy,04,0410,041033
382,41034000,Tuy,04,0410,041034
383,42101000,Alfonso,04,0421,042101
384,42102000,Amadeo,04,0421,042102
385,42103000,Bacoor City,04,0421,042103
386,42104000,Carmona,04,0421,042104
387,42105000,Cavite City,04,0421,042105
388,42106000,City Of Dasmari?As,04,0421,042106
389,42107000,General Emilio Aguinaldo,04,0421,042107
390,42108000,General Trias,04,0421,042108
391,42109000,Imus City,04,0421,042109
392,42110000,Indang,04,0421,042110
393,42111000,Kawit,04,0421,042111
394,42112000,Magallanes,04,0421,042112
395,42113000,Maragondon,04,0421,042113
396,42114000,Mendez (Mendez-Nu?Ez),04,0421,042114
397,42115000,Naic,04,0421,042115
398,42116000,Noveleta,04,0421,042116
399,42117000,Rosario,04,0421,042117
400,42118000,Silang,04,0421,042118
401,42119000,Tagaytay City,04,0421,042119
402,42120000,Tanza,04,0421,042120
403,42121000,Ternate,04,0421,042121
404,42122000,Trece Martires City (Capital),04,0421,042122
405,42123000,Gen. Mariano Alvarez,04,0421,042123
406,43401000,Alaminos,04,0434,043401
407,43402000,Bay,04,0434,043402
408,43403000,City Of Bi?An,04,0434,043403
409,43404000,Cabuyao City,04,0434,043404
410,43405000,City Of Calamba,04,0434,043405
411,43406000,Calauan,04,0434,043406
412,43407000,Cavinti,04,0434,043407
413,43408000,Famy,04,0434,043408
414,43409000,Kalayaan,04,0434,043409
415,43410000,Liliw,04,0434,043410
416,43411000,Los Ba?Os,04,0434,043411
417,43412000,Luisiana,04,0434,043412
418,43413000,Lumban,04,0434,043413
419,43414000,Mabitac,04,0434,043414
420,43415000,Magdalena,04,0434,043415
421,43416000,Majayjay,04,0434,043416
422,43417000,Nagcarlan,04,0434,043417
423,43418000,Paete,04,0434,043418
424,43419000,Pagsanjan,04,0434,043419
425,43420000,Pakil,04,0434,043420
426,43421000,Pangil,04,0434,043421
427,43422000,Pila,04,0434,043422
428,43423000,Rizal,04,0434,043423
429,43424000,San Pablo City,04,0434,043424
430,43425000,City Of San Pedro,04,0434,043425
431,43426000,Santa Cruz (Capital),04,0434,043426
432,43427000,Santa Maria,04,0434,043427
433,43428000,City Of Santa Rosa,04,0434,043428
434,43429000,Siniloan,04,0434,043429
435,43430000,Victoria,04,0434,043430
436,45601000,Agdangan,04,0456,045601
437,45602000,Alabat,04,0456,045602
438,45603000,Atimonan,04,0456,045603
439,45605000,Buenavista,04,0456,045605
440,45606000,Burdeos,04,0456,045606
441,45607000,Calauag,04,0456,045607
442,45608000,Candelaria,04,0456,045608
443,45610000,Catanauan,04,0456,045610
444,45615000,Dolores,04,0456,045615
445,45616000,General Luna,04,0456,045616
446,45617000,General Nakar,04,0456,045617
447,45618000,Guinayangan,04,0456,045618
448,45619000,Gumaca,04,0456,045619
449,45620000,Infanta,04,0456,045620
450,45621000,Jomalig,04,0456,045621
451,45622000,Lopez,04,0456,045622
452,45623000,Lucban,04,0456,045623
453,45624000,Lucena City (Capital),04,0456,045624
454,45625000,Macalelon,04,0456,045625
455,45627000,Mauban,04,0456,045627
456,45628000,Mulanay,04,0456,045628
457,45629000,Padre Burgos,04,0456,045629
458,45630000,Pagbilao,04,0456,045630
459,45631000,Panukulan,04,0456,045631
460,45632000,Patnanungan,04,0456,045632
461,45633000,Perez,04,0456,045633
462,45634000,Pitogo,04,0456,045634
463,45635000,Plaridel,04,0456,045635
464,45636000,Polillo,04,0456,045636
465,45637000,Quezon,04,0456,045637
466,45638000,Real,04,0456,045638
467,45639000,Sampaloc,04,0456,045639
468,45640000,San Andres,04,0456,045640
469,45641000,San Antonio,04,0456,045641
470,45642000,San Francisco (Aurora),04,0456,045642
471,45644000,San Narciso,04,0456,045644
472,45645000,Sariaya,04,0456,045645
473,45646000,Tagkawayan,04,0456,045646
474,45647000,City Of Tayabas,04,0456,045647
475,45648000,Tiaong,04,0456,045648
476,45649000,Unisan,04,0456,045649
477,45801000,Angono,04,0458,045801
478,45802000,City Of Antipolo,04,0458,045802
479,45803000,Baras,04,0458,045803
480,45804000,Binangonan,04,0458,045804
481,45805000,Cainta,04,0458,045805
482,45806000,Cardona,04,0458,045806
483,45807000,Jala-Jala,04,0458,045807
484,45808000,Rodriguez (Montalban),04,0458,045808
485,45809000,Morong,04,0458,045809
486,45810000,Pililla,04,0458,045810
487,45811000,San Mateo,04,0458,045811
488,45812000,Tanay,04,0458,045812
489,45813000,Taytay,04,0458,045813
490,45814000,Teresa,04,0458,045814
491,174001000,Boac (Capital),17,1740,174001
492,174002000,Buenavista,17,1740,174002
493,174003000,Gasan,17,1740,174003
494,174004000,Mogpog,17,1740,174004
495,174005000,Santa Cruz,17,1740,174005
496,174006000,Torrijos,17,1740,174006
497,175101000,Abra De Ilog,17,1751,175101
498,175102000,Calintaan,17,1751,175102
499,175103000,Looc,17,1751,175103
500,175104000,Lubang,17,1751,175104
501,175105000,Magsaysay,17,1751,175105
502,175106000,Mamburao (Capital),17,1751,175106
503,175107000,Paluan,17,1751,175107
504,175108000,Rizal,17,1751,175108
505,175109000,Sablayan,17,1751,175109
506,175110000,San Jose,17,1751,175110
507,175111000,Santa Cruz,17,1751,175111
508,175201000,Baco,17,1752,175201
509,175202000,Bansud,17,1752,175202
510,175203000,Bongabong,17,1752,175203
511,175204000,Bulalacao (San Pedro),17,1752,175204
512,175205000,City Of Calapan (Capital),17,1752,175205
513,175206000,Gloria,17,1752,175206
514,175207000,Mansalay,17,1752,175207
515,175208000,Naujan,17,1752,175208
516,175209000,Pinamalayan,17,1752,175209
517,175210000,Pola,17,1752,175210
518,175211000,Puerto Galera,17,1752,175211
519,175212000,Roxas,17,1752,175212
520,175213000,San Teodoro,17,1752,175213
521,175214000,Socorro,17,1752,175214
522,175215000,Victoria,17,1752,175215
523,175301000,Aborlan,17,1753,175301
524,175302000,Agutaya,17,1753,175302
525,175303000,Araceli,17,1753,175303
526,175304000,Balabac,17,1753,175304
527,175305000,Bataraza,17,1753,175305
528,175306000,Brooke'S Point,17,1753,175306
529,175307000,Busuanga,17,1753,175307
530,175308000,Cagayancillo,17,1753,175308
531,175309000,Coron,17,1753,175309
532,175310000,Cuyo,17,1753,175310
533,175311000,Dumaran,17,1753,175311
534,175312000,El Nido (Bacuit),17,1753,175312
535,175313000,Linapacan,17,1753,175313
536,175314000,Magsaysay,17,1753,175314
537,175315000,Narra,17,1753,175315
538,175316000,Puerto Princesa City (Capital),17,1753,175316
539,175317000,Quezon,17,1753,175317
540,175318000,Roxas,17,1753,175318
541,175319000,San Vicente,17,1753,175319
542,175320000,Taytay,17,1753,175320
543,175321000,Kalayaan,17,1753,175321
544,175322000,Culion,17,1753,175322
545,175323000,Rizal (Marcos),17,1753,175323
546,175324000,Sofronio Espa?Ola,17,1753,175324
547,175901000,Alcantara,17,1759,175901
548,175902000,Banton,17,1759,175902
549,175903000,Cajidiocan,17,1759,175903
550,175904000,Calatrava,17,1759,175904
551,175905000,Concepcion,17,1759,175905
552,175906000,Corcuera,17,1759,175906
553,175907000,Looc,17,1759,175907
554,175908000,Magdiwang,17,1759,175908
555,175909000,Odiongan,17,1759,175909
556,175910000,Romblon (Capital),17,1759,175910
557,175911000,San Agustin,17,1759,175911
558,175912000,San Andres,17,1759,175912
559,175913000,San Fernando,17,1759,175913
560,175914000,San Jose,17,1759,175914
561,175915000,Santa Fe,17,1759,175915
562,175916000,Ferrol,17,1759,175916
563,175917000,Santa Maria (Imelda),17,1759,175917
564,50501000,Bacacay,05,0505,050501
565,50502000,Camalig,05,0505,050502
566,50503000,Daraga (Locsin),05,0505,050503
567,50504000,Guinobatan,05,0505,050504
568,50505000,Jovellar,05,0505,050505
569,50506000,Legazpi City (Capital),05,0505,050506
570,50507000,Libon,05,0505,050507
571,50508000,City Of Ligao,05,0505,050508
572,50509000,Malilipot,05,0505,050509
573,50510000,Malinao,05,0505,050510
574,50511000,Manito,05,0505,050511
575,50512000,Oas,05,0505,050512
576,50513000,Pio Duran,05,0505,050513
577,50514000,Polangui,05,0505,050514
578,50515000,Rapu-Rapu,05,0505,050515
579,50516000,Santo Domingo (Libog),05,0505,050516
580,50517000,City Of Tabaco,05,0505,050517
581,50518000,Tiwi,05,0505,050518
582,51601000,Basud,05,0516,051601
583,51602000,Capalonga,05,0516,051602
584,51603000,Daet (Capital),05,0516,051603
585,51604000,San Lorenzo Ruiz (Imelda),05,0516,051604
586,51605000,Jose Panganiban,05,0516,051605
587,51606000,Labo,05,0516,051606
588,51607000,Mercedes,05,0516,051607
589,51608000,Paracale,05,0516,051608
590,51609000,San Vicente,05,0516,051609
591,51610000,Santa Elena,05,0516,051610
592,51611000,Talisay,05,0516,051611
593,51612000,Vinzons,05,0516,051612
594,51701000,Baao,05,0517,051701
595,51702000,Balatan,05,0517,051702
596,51703000,Bato,05,0517,051703
597,51704000,Bombon,05,0517,051704
598,51705000,Buhi,05,0517,051705
599,51706000,Bula,05,0517,051706
600,51707000,Cabusao,05,0517,051707
601,51708000,Calabanga,05,0517,051708
602,51709000,Camaligan,05,0517,051709
603,51710000,Canaman,05,0517,051710
604,51711000,Caramoan,05,0517,051711
605,51712000,Del Gallego,05,0517,051712
606,51713000,Gainza,05,0517,051713
607,51714000,Garchitorena,05,0517,051714
608,51715000,Goa,05,0517,051715
609,51716000,Iriga City,05,0517,051716
610,51717000,Lagonoy,05,0517,051717
611,51718000,Libmanan,05,0517,051718
612,51719000,Lupi,05,0517,051719
613,51720000,Magarao,05,0517,051720
614,51721000,Milaor,05,0517,051721
615,51722000,Minalabac,05,0517,051722
616,51723000,Nabua,05,0517,051723
617,51724000,Naga City,05,0517,051724
618,51725000,Ocampo,05,0517,051725
619,51726000,Pamplona,05,0517,051726
620,51727000,Pasacao,05,0517,051727
621,51728000,Pili (Capital),05,0517,051728
622,51729000,Presentacion (Parubcan),05,0517,051729
623,51730000,Ragay,05,0517,051730
624,51731000,Sag?Ay,05,0517,051731
625,51732000,San Fernando,05,0517,051732
626,51733000,San Jose,05,0517,051733
627,51734000,Sipocot,05,0517,051734
628,51735000,Siruma,05,0517,051735
629,51736000,Tigaon,05,0517,051736
630,51737000,Tinambac,05,0517,051737
631,52001000,Bagamanoc,05,0520,052001
632,52002000,Baras,05,0520,052002
633,52003000,Bato,05,0520,052003
634,52004000,Caramoran,05,0520,052004
635,52005000,Gigmoto,05,0520,052005
636,52006000,Pandan,05,0520,052006
637,52007000,Panganiban (Payo),05,0520,052007
638,52008000,San Andres (Calolbon),05,0520,052008
639,52009000,San Miguel,05,0520,052009
640,52010000,Viga,05,0520,052010
641,52011000,Virac (Capital),05,0520,052011
642,54101000,Aroroy,05,0541,054101
643,54102000,Baleno,05,0541,054102
644,54103000,Balud,05,0541,054103
645,54104000,Batuan,05,0541,054104
646,54105000,Cataingan,05,0541,054105
647,54106000,Cawayan,05,0541,054106
648,54107000,Claveria,05,0541,054107
649,54108000,Dimasalang,05,0541,054108
650,54109000,Esperanza,05,0541,054109
651,54110000,Mandaon,05,0541,054110
652,54111000,City Of Masbate (Capital),05,0541,054111
653,54112000,Milagros,05,0541,054112
654,54113000,Mobo,05,0541,054113
655,54114000,Monreal,05,0541,054114
656,54115000,Palanas,05,0541,054115
657,54116000,Pio V. Corpuz (Limbuhan),05,0541,054116
658,54117000,Placer,05,0541,054117
659,54118000,San Fernando,05,0541,054118
660,54119000,San Jacinto,05,0541,054119
661,54120000,San Pascual,05,0541,054120
662,54121000,Uson,05,0541,054121
663,56202000,Barcelona,05,0562,056202
664,56203000,Bulan,05,0562,056203
665,56204000,Bulusan,05,0562,056204
666,56205000,Casiguran,05,0562,056205
667,56206000,Castilla,05,0562,056206
668,56207000,Donsol,05,0562,056207
669,56208000,Gubat,05,0562,056208
670,56209000,Irosin,05,0562,056209
671,56210000,Juban,05,0562,056210
672,56211000,Magallanes,05,0562,056211
673,56212000,Matnog,05,0562,056212
674,56213000,Pilar,05,0562,056213
675,56214000,Prieto Diaz,05,0562,056214
676,56215000,Santa Magdalena,05,0562,056215
677,56216000,City Of Sorsogon (Capital),05,0562,056216
678,60401000,Altavas,06,0604,060401
679,60402000,Balete,06,0604,060402
680,60403000,Banga,06,0604,060403
681,60404000,Batan,06,0604,060404
682,60405000,Buruanga,06,0604,060405
